rating,name,address,hours,holiday,price,url,tel
one star,Il CentrinoNew entry in the guide,"1-2-2 Kawarayamachi, Chuo-ku, Osaka",Lunch = 12:00-15:00 L.O.13:00Dinner = 18:00-23:00 L.O.21:00,Closed Sunday,"Lunch = ¥4,500-6,500Dinner = ¥8,000-18,000",http://www.il-centrino.com/,06-6762-5901
Bib Gourmand,Via del EmmeNew entry in the guide,"1F, Grace Fukushima, 7-7-10 Fukushima, Fukushima-ku, Osaka",Lunch = 12:00-15:00 L.O.14:00 except MondayDinner = 18:00-23:00 L.O.20:30,Closed Wednesday,"Lunch = ¥2,500-4,000Dinner = ¥5,500-8,000",https://www.viadelemme.com/,06-6225-7809
one star,Oryori HorikawaNew entry in the guide,"4-8-17 Temma, Kita-ku, Osaka",Lunch = 12:00-13:00 (L.O.)Dinner = 18:00-20:00 (L.O.),n/a,"Lunch = ¥7,000Dinner = ¥16,000",n/a,06-7173-9388
Bib Gourmand,Kajiyamachi KazukiNew entry in the guide,"1F, Taihei Heights, 2-10-26 Shimanochi, Chuo-ku, Osaka",Dinner = 18:00-2:30 (L.O.),Closed Wednesdayy and 1st Thursday of the month,"Dinner = ¥4,000-9,000",n/a,06-6213-7788
Bib Gourmand,Comptoir15New entry in the guide,"B1F, 1-29-16 Shimmachi, Nishi-ku, Osaka",Dinner = 18:00-22:30 (L.O.),Closed Tuesday,"Dinner = ¥5,000-8,000",https://www.comptoir15.com/,06-4390-0005
Bib Gourmand,Shikkui NomuraNew entry in the guide,"1-22 Nozakicho, Kita-ku, Osaka",Lunch = 12:00-14:00 (L.O.)Dinner = 17:30-21:00 (L.O.),n/a,"Lunch = ¥2,000-7,000Dinner = ¥5,000-9,000",http://shikkuinomura.com/,06-7178-6863
Bib Gourmand,Shitennoji HayauchiNew entry in the guide,"1-12-16 Shitennoji, Tennoji-ku, Osaka",Lunch = 11:30-15:00 (L.O.) or when the day’s stock runs outDinner Thursday-Sunday = 17:30-21:00 (L.O.) or when the day’s stock runs out,Closed Wednesday,"Lunch = ¥1,000-3,000Dinner = ¥1,000-3,000",http://shitennoji-hayauchi.com/,06-6773-2858
one star,Chi-FuNew entry in the guide,"4-4-8 Nishitemma, Kita-ku, Osaka",Lunch = Tuesday-Saturday 11:30-13:00 (L.O.)Dinner = 17:30-20:30 (L.O.),Closed Sunday,"Lunch = ¥6,500-20,000Dinner = ¥14,000-20,000",http://chi-fu.jp/,06-6940-0317
one star,ShorokuNew entry in the guide,"1-16-18 Utsubohommachi, Nishi-ku, Osaka",Lunch = 11:30-14:00Dinner = 17:30-22:00,n/a,"Lunch = ¥5,500Dinner = ¥9,500-14,000",n/a,06-6443-1088
one star,Sushi OhataNew entry in the guide,"2F, Hiro Bldg, 1-4-8 Dojima, Kita-ku, Osaka","Dinner = 18:00-20:10, 20:30-23:00",Closed Wednesday,"Dinner = ¥20,000-22,000",n/a,070-3842-4261
Bib Gourmand,Sushi MarumineNew entry in the guide,"6-2-20 Tenjimbashi, Kita-ku, Osaka",Dinner = 17:00-22:00 L.O.21:30,Closed Wednesday and 3rd Thursday of the month,"Dinner = ¥5,000-8,000",n/a,06-6351-6866
one star,Sushi Murakami JiroNew entry in the guide,"1F, Mori Bldg, 1-5-7 Sonezakishinchi, Kita-ku, Osaka",Dinner = 18:00-24:00,Closed Sunday and Public Holidays,"Dinner = ¥22,000",n/a,06-6341-3988
Bib Gourmand,SomaNew entry in the guide,"3-18-2 Nakatsu, Kita-ku, Osaka",Lunch = 12:00-15:00 L.O.14:45 or when the day’s stock runs out,Closed Friday and Sunday,"Lunch = Under ¥1,500",n/a,06-7503-8217
Bib Gourmand,TanpopoNew entry in the guide,"6F, Eiraku Bldg, 1-10-16 Sonezakishinchi, Kita-ku, Osaka",Dinner = 18:00-24:00 L.O.23:00Saturday 18:00-22:30 L.O.21:30,Closed Sunday,"Dinner = ¥5,000-7,000",n/a,06-6344-2888
Bib Gourmand,Chukasoba UemachiNew entry in the guide,"A-22 Uemachi, Chuo-ku, Osaka",Lunch = 11:00-14:30 or when the day’s stock runs outDinner = 18:00-21:00 or when the day’s stock runs out,Closed Monday,"Lunch = Under ¥1,500Dinner = Under ¥1,500",n/a,06-6762-5311
Bib Gourmand,Chugokusai XiangweiNew entry in the guide,"3-6-15 Nishitemma, Kita-ku, Osaka",Lunch = 11:30-14:30 L.O.14:00Dinner = 18:00-22:00 L.O.21:30,Closed Sunday,"Lunch = Under ¥1,500Dinner = ¥5,000-8,000",n/a,06-6364-2980
Bib Gourmand,DukkahNew entry in the guide,"4-3-13 Nishitemma, Kita-ku, Osaka",Lunch = 11:30-14:00 (L.O.)Saturday & Public Holidays 11:30-13:00 (L.O.)Dinner = 17:30-22:00 (L.O.)Saturday & Public Holidays 17:30-21:00 (L.O.),Closed Sunday,"Lunch = ¥3,000-4,500Dinner = ¥4,500-8,000",https://eiichimatumoto0321.wixsite.com/dukkah,06-6948-6805
one star,TeruyaNew entry in the guide,"1F, Grace Ueshio, 2-1-24 Ueshio, Chuo-ku, Osaka",Dinner = 18:00-20:00 (L.O.),n/a,"Dinner = ¥18,000",n/a,080-5638-7455
one star,Tempura HanagatamiNew entry in the guide,"5F, The Ritz-Carlton, 2-5-25 Umeda, Kita-ku, Osaka",Lunch = 11:30-14:30Dinner = 17:30-21:30,n/a,"Lunch = ¥7,000-9,500Dinner = ¥13,000-23,000",https://www.ritz-carlton.co.jp/restaurant/hanagatami/tempura/,06-6343-7020
Bib Gourmand,Naniwashusai RojinNew entry in the guide,"2-1-37 Katamachi, Miyakojima-ku, Osaka",Dinner = 17:00-24:00 L.O.23:00,n/a,"Dinner = ¥6,000-9,000",n/a,070-4326-8145
one star,NishinoNew entry in the guide,"1-9-21 Kyomachibori, Nishi-ku, Osaka",Dinner = 18:00-22:00,Closed Sunday and 1st of each month,"Dinner = ¥15,000-18,000",n/a,06-6479-0456
Bib Gourmand,HashimotoyaNew entry in the guide,"2-2-21 Minamisemba, Chuo-ku, Osaka",Lunch = 12:00-14:00 or when the day’s stock runs out,"Closed Saturday, Sunday and Public Holidays","Lunch = Under ¥1,500",n/a,None
one star,HatsuNew entry in the guide,"1-4-20 Dojima, Kita-ku, Osaka",Lunch = 12:00-15:00 L.O.13:30Dinner = 18:00-22:30 L.O.20:30,Closed Sunday and Public Holidays,"Lunch = ¥6,000-12,000Dinner = ¥12,000-17,000",http://jpn-rsc.co.jp/hatsu/,06-6344-3831
one star,HatsuNew entry in the guide,"1-4-20 Dojima, Kita-ku, Osaka",Lunch = 12:00-15:00 L.O.13:30Dinner = 18:00-22:30 L.O.20:30,Closed Sunday and Public Holidays,"Lunch = ¥6,000-12,000Dinner = ¥12,000-17,000",http://jpn-rsc.co.jp/hatsu/,06-6344-3831
Bib Gourmand,Mugito MensukeNew entry in the guide,"3-4-12 Toyosaki, Kita-ku, Osaka",Lunch = 11:00-15:30weekends 11:00-16:00,Closed Tuesday,"Lunch = Under ¥1,500",n/a,None
Bib Gourmand,Yakitori MinamiNew entry in the guide,"4F, Daini Royal Bldg, 1-4-20 Dojima, Kita-ku, Osaka",Dinner = 18:00-23:00,Closed Sunday and Public Holidays,"Dinner = ¥5,000-8,000",n/a,06-6341-7738
Bib Gourmand,YoshitakaNew entry in the guide,"2F, Nippo New Grand Bldg, 2-8-5 Higashishinsaibashi, Chuo-ku, Osaka",Dinner = 19:00-1:00 (L.O.),Closed Monday,"Dinner = ¥5,000-8,000",n/a,06-6210-3845
